12,18
[floor1]
0,0,0,0,0,0,0,D1,0,0,0,0,0,0,0,0,0,0
0,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1
0,A1,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1
-1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1
0,0,0,0,0,0,0,0,D2,0,0,0,0,0,0,0,0,0
0,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1
0,0,0,0,-1,0,0,-1,K1,-1,0,0,0,-1,0,-1,-1,-1
-1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,T1,0
0,-1,-1,0,-1,0,K2,-1,0,-1,0,0,0,-1,0,-1,-1,-1
0,0,0,0,-1,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1
-1,0,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1

