7,9
[floor1]
A1,0,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,0,0,0,0,-1
-1,0,0,0,UP,0,0,0,-1
-1,0,0,0,UP,0,0,0,-1
-1,-1,-1,-1,0,0,0,0,-1
-1,T2,A2,-1,0,0,0,0,D1
-1,-1,-1,-1,-1,-1,-1,-1,T1
[floor2]
0,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,0,0,0,UP,-1
-1,0,0,0,0,0,0,UP,-1
-1,0,DO,0,0,0,0,UP,-1
-1,0,DO,0,0,0,0,0,-1
-1,0,DO,0,0,0,0,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
[floor3]
0,-1,-1,-1,-1,-1,-1,-1,-1
-1,0,0,0,0,0,DO,0,-1
-1,0,0,0,0,0,DO,0,-1
-1,0,0,0,0,0,DO,0,-1
-1,0,0,0,0,0,0,0,-1
-1,0,0,0,0,0,0,K1,-1
-1,-1,-1,-1,-1,-1,-1,-1,0
